nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000345	Billy Crystal	1948	\N	actor,writer,producer	tt0113097,tt0122933,tt0098635,tt0101587
nm0000439	Neil Patrick Harris	1973	\N	actor,soundtrack,producer	tt2267998,tt0120201,tt0460649,tt4834206
nm0000469	James Earl Jones	1931	\N	actor,soundtrack	tt0094898,tt0099810,tt3748528,tt0086190
nm0000472	Boris Karloff	1887	1969	actor,soundtrack	tt0026138,tt0060345,tt0023194,tt0024894
nm0000510	Andie MacDowell	1958	\N	actress,producer,soundtrack	tt0102070,tt0107048,tt0098724,tt0109831
nm0000828	Barbara Bain	1931	\N	actress,soundtrack	tt0270197,tt0072564,tt3665394,tt0060009
nm0000910	Joan Bennett	1910	1990	actress,soundtrack	tt0037469,tt0038057,tt0076786,tt0059978
nm0001304	Fred Gwynne	1926	1993	actor,soundtrack,writer	tt0057773,tt0104952,tt0098084,tt0054528
nm0001306	Larry Hagman	1931	2012	actor,producer,director	tt0077000,tt0113987,tt0078346,tt0119942
nm0001527	Elizabeth McGovern	1961	\N	actress,writer,producer	tt0081283,tt1606375,tt0087843,tt0099731
nm0001606	Chris Penn	1965	2006	actor,producer,director	tt0108399,tt0087277,tt0108122,tt0105236
nm0001642	Randy Quaid	1950	\N	actor,producer,soundtrack	tt0097958,tt0388795,tt0085995,tt0116778
nm0001858	Mare Winningham	1959	\N	actress,soundtrack	tt0098536,tt0090060,tt2431286,tt0097889
nm0002025	Hume Cronyn	1911	2003	actor,producer,writer	tt0037263,tt0036342,tt0092494,tt0088933
nm0002253	John Carroll Lynch	1963	\N	actor,director,soundtrack	tt0116282,tt0348836,tt4276820,tt2967224
nm0002315	Roger Wielgus	1951	\N	director,assistant_director,writer	tt0423713,tt0204965,tt0205207,tt0205042
nm0002680	Jessica Gallant	1967	\N	cinematographer,camera_department,editor	tt3671536,tt1543405,tt0404505,tt2270372
nm0002765	Alan Williams	\N	\N	composer,music_department,soundtrack	tt0140803,tt0146063,tt1894561,tt0288593
nm0003474	Troy Miller	\N	\N	producer,director,camera_department	tt2089826,tt0367279,tt0141109,tt0863046
nm0003891	Jane Waters	1944	2011	cinematographer,camera_department,director	tt0131860,tt0089680,tt0177676,tt0426855
nm0003922	Michael Goi	1959	\N	cinematographer,camera_department,director	tt1844624,tt2561546,tt0266041,tt1087461
nm0004105	Jay Sandrich	1932	\N	director,assistant_director,producer	tt0088526,tt0086687,tt0075584,tt0065314
nm0004747	Wes Bentley	1978	\N	actor,producer,soundtrack	tt0804516,tt1392170,tt0816692,tt0169547
nm0005082	David E. Kelley	1956	\N	writer,producer,miscellaneous	tt0118254,tt0090466,tt0103512,tt0118437
nm0005324	Maury Povich	1939	\N	actor,producer,miscellaneous	tt0460649,tt7713810,tt0120986,tt1787759
nm0005412	Jane Seymour	1951	\N	actress,producer,soundtrack	tt0081534,tt0396269,tt0103405,tt0070328
nm0005706	George J. Folsey	1898	1988	cinematographer,camera_department,actor	tt0049223,tt0039437,tt0047472,tt0037059
nm0005963	Nick Bicât	\N	\N	composer,music_department,soundtrack	tt0364254,tt0124241,tt0114099,tt0100469
nm0005991	Sammy Cahn	1913	1993	soundtrack,music_department,producer	tt0116908,tt0095016,tt0266987,tt1843866
nm0006013	Bob Cobert	1924	\N	music_department,composer,soundtrack	tt1077368,tt0059978,tt0389860,tt3385516
nm0006094	Antón García Abril	1933	\N	composer,music_department,soundtrack	tt0052802,tt0063359,tt0063859,tt0072050
nm0006224	Barrington Pheloung	\N	\N	composer,music_department,soundtrack	tt0111173,tt0829098,tt0150915,tt0092379
nm0006336	W.G. Snuffy Walden	1950	\N	composer,soundtrack,music_department	tt0200276
nm0007580	Eileen Abad	1973	\N	actress	tt0307831,tt1279122,tt5378720,tt0300723
nm0007601	Teresita Abad	\N	\N	actress,miscellaneous	tt0180900,tt0044451
